seed,num_trees,tree_id,x,y,steps,height,crown_volume,crown_radius,asymmetry_radius,consumed_AP,AP_in_growth_radius,neighboring_trees
4020,16,6,-0.75,0.75,534,13.821850149995841,379.11233770762163,7.920087861650893,50.8038004109488,168,6250,15
4020,16,7,-0.75,2.25,534,11.72066390215892,328.9839925490687,7.025574568908366,74.867558622637,160,6250,15
4020,16,8,0.75,-2.25,534,15.457602155607773,230.88309272796522,6.381138147049288,17.952958229802103,141,6250,15
4020,16,9,0.75,-0.75,534,18.812069040697192,311.94820211657145,5.3955721872568,41.82982590595942,147,6250,15
4020,16,10,0.75,0.75,534,18.885795072036775,429.32284646765044,6.25874875252333,45.40135906773386,145,6250,15
4020,16,11,0.75,2.25,534,12.834695328373504,259.90252618919106,6.977875824835528,8.523218193044299,135,6250,15
4020,16,12,2.25,-2.25,534,12.463305664693214,180.61802970626226,4.751555233798593,10.65177483125504,114,6250,15
4020,16,13,2.25,-0.75,534,16.1510483343491,212.78082804027562,5.07066989655044,48.29461458025662,139,6250,15
4020,16,14,2.25,0.75,534,14.410609908498936,204.8350470661719,5.10284950009811,30.0606015747243,119,6250,15
4020,16,15,2.25,2.25,534,14.991129675266533,239.69323917484112,5.71092944584569,88.57876826210912,134,6250,15
