seed,sun_x,sun_y,sun_z,steps,height,crown_volume,crown_radius,asymmetry_radius,consumed_AP,AP_in_growth_radius
1105,-30.0,3.67394039744206e-15,60.0,526,8.44078296741574,78.68985844524323,3.721459117729478,93.72447260523,132,115
1106,-21.21320343559643,-21.213203435596423,60.0,532,8.224852999939898,79.21156109742323,3.842830885700661,14.153646659102352,126,106
1107,-21.21320343559643,-21.213203435596423,60.0,530,8.480021807324668,76.6487982927643,3.617336350563505,12.470146786594013,109,86
1108,-21.21320343559643,-21.213203435596423,60.0,526,8.231631731913147,84.19973987552916,3.474276929241641,31.61272719827503,138,104
1109,-21.21320343559643,-21.213203435596423,60.0,526,8.22333514169442,78.81922860665992,3.571206365248467,77.58066792591163,130,97
1110,-21.21320343559643,-21.213203435596423,60.0,23,8.630525839708385,79.30764538140396,3.6647277929502917,21.9125689709481,144,113
1111,-5.510910596163089e-15,-30.0,60.0,527,8.836868439953722,67.11995060763589,3.5059913704943657,155.05504017049407,128,112
1112,-5.510910596163089e-15,-30.0,60.0,527,8.315113976941067,77.91342139434288,3.725372980561157,19.07925655646136,118,98
1113,-5.510910596163089e-15,-30.0,60.0,530,8.535279334736641,80.14083907143318,3.903156351829061,12.13667313695838,117,86
1114,-5.510910596163089e-15,-30.0,60.0,528,8.41893612744174,77.75454064341113,3.568604157537969,29.347451181922093,113,94
1115,-5.510910596163089e-15,-30.0,60.0,526,8.259120458375124,70.8929925759683,3.7310925846133625,27.21949876582797,115,98
1116,21.21320343559642,-21.21320343559643,60.0,528,8.466441848772408,82.46088342400479,3.8439919288363233,13.61638413885757,112,97
1117,21.21320343559642,-21.21320343559643,60.0,525,8.340579747720588,68.17216186126358,3.539913578407446,18.810997030891212,93,71
1118,21.21320343559642,-21.21320343559643,60.0,526,8.626954784563585,69.07598681426492,3.693761873266098,20.878599197060066,111,90
1119,21.21320343559642,-21.21320343559643,60.0,527,8.622318919035335,68.99406558317449,3.532802581373133,32.298433448574876,103,90
1120,21.21320343559642,-21.21320343559643,60.0,528,8.304903041253022,83.30134530719437,3.787197717453242,125.60360466279171,123,99
